ASX Code,Security Group Code,Issuer Name Full,Product Description Abbrev,Last Price ($),Business Date
EXL   ,EQY,ELIXINOL WELLNESS LIMITED                                   ,ORDINARY            ,0.013,20230630
EXP   ,EQY,EXPERIENCE CO LIMITED                                       ,ORDINARY            ,0.235,20230630
EXR   ,EQY,ELIXIR ENERGY LIMITED                                       ,ORDINARY            ,0.08,20230630
EYE   ,EQY,NOVA EYE MEDICAL LIMITED                                    ,ORDINARY            ,0.265,20230630
EZL   ,EQY,EUROZ HARTLEYS GROUP LIMITED                                ,ORDINARY            ,1.09,20230630
EZZ   ,EQY,EZZ LIFE SCIENCE HOLDINGS LIMITED                           ,ORDINARY            ,0.5,20230630
FAL   ,EQY,FALCON METALS LTD                                           ,ORDINARY            ,0.205,20230630
FAR   ,EQY,FAR LIMITED                                                 ,ORDINARY            ,0.84,20230630
FAU   ,EQY,FIRST AU LIMITED                                            ,ORDINARY            ,0.003,20230630
FBM   ,EQY,FUTURE BATTERY MINERALS LIMITED                             ,ORDINARY            ,0.12,20230630
FBR   ,EQY,FBR LTD                                                     ,ORDINARY            ,0.026,20230630
FBU   ,EQY,FLETCHER BUILDING LIMITED                                   ,ORD FOR. EXEMPT NZX ,5,20230630
FCL   ,EQY,FINEOS CORPORATION HOLDINGS PLC                             ,CDI 1:1             ,2.22,20230630
FCT   ,EQY,FIRSTWAVE CLOUD TECHNOLOGY LIMITED                          ,ORDINARY            ,0.041,20230629
FDR   ,EQY,FINDER ENERGY HOLDINGS LIMITED                              ,ORDINARY            ,0.077,20230630
FDV   ,EQY,FRONTIER DIGITAL VENTURES LIMITED                           ,ORDINARY            ,0.395,20230630
FEG   ,EQY,FAR EAST GOLD LTD                                           ,ORDINARY            ,0.29,20230630
FEX   ,EQY,FENIX RESOURCES LTD                                         ,ORDINARY            ,0.285,20230630
FFF   ,EQY,FORBIDDEN FOODS LIMITED                                     ,ORDINARY            ,0.017,20230630
FFG   ,EQY,FATFISH GROUP LIMITED                                       ,ORDINARY            ,0.013,20230630
FFI   ,EQY,FFI HOLDINGS LIMITED                                        ,ORDINARY            ,3.6,20230630
FFT   ,EQY,FUTURE FIRST TECHNOLOGIES LTD                               ,ORDINARY            ,0.015,20230629
FFX   ,EQY,FIREFINCH LIMITED                                           ,ORDINARY            ,0.2,20220624
FG1   ,EQY,FLYNN GOLD LIMITED                                          ,ORDINARY            ,0.06,20230630
FGG   ,EQY,FUTURE GENERATION GLOBAL LIMITED                            ,ORDINARY            ,1.16,20230630
FGL   ,EQY,FRUGL GROUP LIMITED                                         ,ORDINARY            ,0.011,20230626
FGR   ,EQY,FIRST GRAPHENE LIMITED                                      ,ORDINARY            ,0.069,20230630
FGX   ,EQY,FUTURE GENERATION AUSTRALIA LIMITED                         ,ORDINARY            ,1.12,20230630
FHE   ,EQY,FRONTIER ENERGY LIMITED                                     ,ORDINARY            ,0.36,20230630
FHS   ,EQY,FREEHILL MINING LIMITED.                                    ,ORDINARY            ,0.004,20230131
FID   ,EQY,FIDUCIAN GROUP LIMITED                                      ,ORDINARY FULLY PAID ,5.82,20230630
FIN   ,EQY,FIN RESOURCES LIMITED                                       ,ORDINARY            ,0.014,20230630
FLC   ,EQY,FLUENCE CORPORATION LIMITED                                 ,ORDINARY            ,0.18,20230630
FLN   ,EQY,FREELANCER LIMITED                                          ,ORDINARY            ,0.23,20230630
FLT   ,EQY,FLIGHT CENTRE TRAVEL GROUP LIMITED                          ,ORDINARY            ,19.05,20230630
FLX   ,EQY,FELIX GROUP HOLDINGS LTD                                    ,ORDINARY            ,0.14,20230629
FME   ,EQY,FUTURE METALS NL                                            ,ORDINARY            ,0.033,20230630
FMG   ,EQY,FORTESCUE METALS GROUP LTD                                  ,ORDINARY            ,22.18,20230630
FML   ,EQY,FOCUS MINERALS LTD                                          ,ORDINARY            ,0.19,20230630
FMS   ,EQY,FLINDERS MINES LIMITED                                      ,ORDINARY            ,0.45,20230630
FND   ,EQY,FINDI LIMITED                                               ,ORDINARY            ,0.385,20230630
FNX   ,EQY,FINEXIA FINANCIAL GROUP LIMITED                             ,ORDINARY            ,0.255,20230628
FOS   ,EQY,FOS CAPITAL LTD                                             ,ORDINARY            ,0.18,20230628
FPC   ,EQY,FAT PROPHETS GLOBAL CONTRARIAN FUND LTD                     ,ORDINARY            ,0.8,20230630
FPH   ,EQY,FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED              ,ORD FOR. EXEMPT NZX ,22.54,20230630
FPR   ,EQY,FLEETPARTNERS GROUP LIMITED                                 ,ORDINARY            ,2.58,20230630
FRB   ,EQY,FIREBIRD METALS LIMITED                                     ,ORDINARY            ,0.091,20230630
FRE   ,EQY,FIREBRICK PHARMA LIMITED                                    ,ORDINARY            ,0.155,20230630
FRI   ,EQY,FINBAR GROUP LIMITED                                        ,ORDINARY            ,0.66,20230630
FRM   ,EQY,FARM PRIDE FOODS LIMITED                                    ,ORDINARY            ,0.12,20230629
FRS   ,EQY,FORRESTANIA RESOURCES LIMITED                               ,ORDINARY            ,0.088,20230630
FRX   ,EQY,FLEXIROAM LIMITED                                           ,ORDINARY            ,0.036,20230630
FSA   ,EQY,FSA GROUP LIMITED                                           ,ORDINARY            ,0.98,20230630
FSG   ,EQY,FIELD SOLUTIONS HOLDINGS LIMITED                            ,ORDINARY            ,0.05,20230630
FSI   ,EQY,FLAGSHIP INVESTMENTS LIMITED                                ,ORDINARY            ,1.66,20230630
FTC   ,EQY,FINTECH CHAIN LIMITED                                       ,CDI 1:1             ,0.016,20230630
FTL   ,EQY,FIRETAIL RESOURCES LIMITED                                  ,ORDINARY            ,0.11,20230630
FTZ   ,EQY,FERTOZ LIMITED                                              ,ORDINARY            ,0.11,20230630
FWD   ,EQY,FLEETWOOD LIMITED                                           ,ORDINARY            ,2.25,20230630
FXG   ,EQY,FELIX GOLD LIMITED                                          ,ORDINARY            ,0.072,20230630
FYI   ,EQY,FYI RESOURCES LIMITED                                       ,ORDINARY            ,0.086,20230630
FZR   ,EQY,FITZROY RIVER CORPORATION LTD                               ,ORDINARY            ,0.17,20230630
G1A   ,EQY,GALENA MINING LIMITED                                       ,ORDINARY            ,0.1125,20230630
G50   ,EQY,GOLD 50 LIMITED                                             ,ORDINARY            ,0.175,20230628
G6M   ,EQY,GROUP 6 METALS LIMITED                                      ,ORDINARY            ,0.13,20230630
G88   ,EQY,GOLDEN MILE RESOURCES LTD                                   ,ORDINARY            ,0.053,20230630
GAL   ,EQY,GALILEO MINING LTD                                          ,ORDINARY            ,0.56,20230630
GAP   ,EQY,GALE PACIFIC LIMITED                                        ,ORDINARY            ,0.18,20230630
GAS   ,EQY,STATE GAS LIMITED                                           ,ORDINARY            ,0.18,20230630
GBE   ,EQY,GLOBE METALS & MINING LIMITED                               ,ORDINARY            ,0.062,20230630
GBR   ,EQY,GREAT BOULDER RESOURCES LIMITED                             ,ORDINARY            ,0.072,20230630
GBZ   ,EQY,GBM RESOURCES LIMITED                                       ,ORDINARY            ,0.022,20230630
GC1   ,EQY,GLENNON SMALL COMPANIES LIMITED                             ,ORDINARY            ,0.475,20230630
GCM   ,EQY,GREEN CRITICAL MINERALS LIMITED                             ,ORDINARY            ,0.015,20230630
GCR   ,EQY,GOLDEN CROSS RESOURCES LTD                                  ,ORDINARY            ,0.002,20230630
GCX   ,EQY,GCX METALS LIMITED                                          ,ORDINARY            ,0.029,20230629
GCY   ,EQY,GASCOYNE RESOURCES LIMITED                                  ,ORDINARY            ,0.175,20230630
GDA   ,EQY,GOOD DRINKS AUSTRALIA LTD                                   ,ORDINARY            ,0.525,20230630
GDG   ,EQY,GENERATION DEVELOPMENT GROUP LIMITED                        ,ORDINARY            ,1.255,20230627
GED   ,EQY,GOLDEN DEEPS LIMITED.                                       ,ORDINARY            ,0.006,20230630
GEM   ,EQY,G8 EDUCATION LIMITED                                        ,ORDINARY            ,1.04,20230630
GEN   ,EQY,GENMIN LIMITED                                              ,ORDINARY            ,0.17,20230630
GES   ,EQY,GENESIS RESOURCES LIMITED                                   ,ORDINARY            ,0.005,20230629
GFL   ,EQY,GLOBAL MASTERS FUND LIMITED                                 ,ORDINARY            ,2.49,20230630
GFN   ,EQY,GEFEN INTERNATIONAL A.I. LTD                                ,ORDINARY            ,0.009,20230630
GGE   ,EQY,GRAND GULF ENERGY LIMITED                                   ,ORDINARY            ,0.011,20230630
GGX   ,EQY,GAS2GRID LIMITED                                            ,ORDINARY            ,0.002,20230630
GHY   ,EQY,GOLD HYDROGEN LIMITED                                       ,ORDINARY            ,0.225,20230630
GIB   ,EQY,GIBB RIVER DIAMONDS LIMITED                                 ,ORDINARY            ,0.037,20230630
GL1   ,EQY,GLOBAL LITHIUM RESOURCES LIMITED                            ,ORDINARY            ,1.56,20230630
GLA   ,EQY,GLADIATOR RESOURCES LIMITED                                 ,ORDINARY            ,0.013,20230629
GLB   ,EQY,GLOBE INTERNATIONAL LIMITED                                 ,ORDINARY            ,2.05,20230630
GLE   ,EQY,GLG CORP LTD                                                ,ORDINARY            ,0.22,20230630
GLH   ,EQY,GLOBAL HEALTH LIMITED                                       ,ORDINARY            ,0.135,20230630
GLL   ,EQY,GALILEE ENERGY LIMITED                                      ,ORDINARY            ,0.095,20230630
GLN   ,EQY,GALAN LITHIUM LIMITED                                       ,ORDINARY            ,0.87,20230628
GLV   ,EQY,GLOBAL OIL & GAS LIMITED                                    ,ORDINARY            ,0.013,20230630
GMD   ,EQY,GENESIS MINERALS LIMITED                                    ,ORDINARY            ,1.305,20230630
GML   ,EQY,GATEWAY MINING LIMITED                                      ,ORDINARY            ,0.035,20230630
GMN   ,EQY,GOLD MOUNTAIN LIMITED                                       ,ORDINARY            ,0.0075,20230630
GMR   ,EQY,GOLDEN RIM RESOURCES LTD                                    ,ORDINARY            ,0.028,20230630
GNC   ,EQY,GRAINCORP LIMITED                                           ,A CLASS ORDINARY    ,7.83,20230630
GNE   ,EQY,GENESIS ENERGY LIMITED                                      ,ORD FOR. EXEMPT NZX ,2.5,20230630
GNG   ,EQY,GR ENGINEERING SERVICES LIMITED                             ,ORDINARY            ,2.14,20230630
GNM   ,EQY,GREAT NORTHERN MINERALS LIMITED                             ,ORDINARY            ,0.028,20230630
GNP   ,EQY,GENUSPLUS GROUP LTD                                         ,ORDINARY            ,1.12,20230630
GNX   ,EQY,GENEX POWER LIMITED                                         ,ORDINARY            ,0.15,20230630
GO2   ,EQY,THE GO2 PEOPLE LTD                                          ,ORDINARY            ,0.014,20230403
GOR   ,EQY,GOLD ROAD RESOURCES LIMITED                                 ,ORDINARY            ,1.485,20230630
GOW   ,EQY,GOWING BROS LIMITED                                         ,ORDINARY            ,2.57,20230630
GPR   ,EQY,GEOPACIFIC RESOURCES LTD                                    ,ORDINARY            ,0.019,20230630
GPS   ,EQY,GPS ALLIANCE HOLDINGS LIMITED                               ,ORDINARY            ,0.041,20210708
GQG   ,EQY,GQG PARTNERS INC.                                           ,CDI1:1 USPROHEXCLQIB,1.385,20230630
GRE   ,EQY,GREENTECH METALS LIMITED                                    ,ORDINARY            ,0.555,20230630
GRL   ,EQY,GODOLPHIN RESOURCES LIMITED                                 ,ORDINARY            ,0.054,20230630
GRR   ,EQY,GRANGE RESOURCES LIMITED.                                   ,ORDINARY            ,0.535,20230630
GRV   ,EQY,GREENVALE ENERGY LTD                                        ,ORDINARY            ,0.095,20230630
GRX   ,EQY,GREENX METALS LIMITED                                       ,ORDINARY            ,1.12,20230630
GSM   ,EQY,GOLDEN STATE MINING LIMITED                                 ,ORDINARY            ,0.045,20230630
GSN   ,EQY,GREAT SOUTHERN MINING LIMITED                               ,ORDINARY            ,0.017,20230630
GSR   ,EQY,GREENSTONE RESOURCES LIMITED                                ,ORDINARY            ,0.017,20230630
GSS   ,EQY,GENETIC SIGNATURES LIMITED                                  ,ORDINARY            ,0.525,20230630
GT1   ,EQY,GREEN TECHNOLOGY METALS LIMITED                             ,ORDINARY            ,0.73,20230630
GTE   ,EQY,GREAT WESTERN EXPLORATION LIMITED.                          ,ORDINARY            ,0.034,20230630
GTG   ,EQY,GENETIC TECHNOLOGIES LIMITED                                ,ORDINARY            ,0.0025,20230630
GTI   ,EQY,GRATIFII LIMITED                                            ,ORDINARY            ,0.015,20230628
GTK   ,EQY,GENTRACK GROUP LIMITED                                      ,ORD FOR.EXEMPT NZX  ,3.91,20230630
GTN   ,EQY,GTN LIMITED                                                 ,ORDINARY            ,0.45,20230629
GTR   ,EQY,GTI ENERGY LTD                                              ,ORDINARY            ,0.006,20230630
GUD   ,EQY,G.U.D. HOLDINGS LIMITED                                     ,ORDINARY            ,8.82,20230630
GUL   ,EQY,GULLEWA LIMITED                                             ,ORDINARY            ,0.057,20230629
GVF   ,EQY,GLOBAL VALUE FUND LIMITED                                   ,ORDINARY            ,1.13,20230630
GW1   ,EQY,GREENWING RESOURCES LTD                                     ,ORDINARY            ,0.23,20230630
GWA   ,EQY,GWA GROUP LIMITED.                                          ,ORDINARY            ,1.75,20230630
GWR   ,EQY,GWR GROUP LIMITED                                           ,ORDINARY            ,0.064,20230630
H2G   ,EQY,GREENHY2 LIMITED                                            ,ORDINARY            ,0.014,20230630
HAL   ,EQY,HALO TECHNOLOGIES HOLDINGS LTD                              ,ORDINARY            ,0.1,20230630
HAR   ,EQY,HARANGA RESOURCES LIMITED.                                  ,ORDINARY            ,0.12,20230630
HAS   ,EQY,HASTINGS TECHNOLOGY METALS LTD                              ,ORDINARY            ,1.34,20230630
HAV   ,EQY,HAVILAH RESOURCES LIMITED                                   ,ORDINARY            ,0.215,20230630
HAW   ,EQY,HAWTHORN RESOURCES LIMITED                                  ,ORDINARY            ,0.145,20230630
HCD   ,EQY,HYDROCARBON DYNAMICS LIMITED                                ,ORDINARY            ,0.008,20230630
HCF   ,EQY,H&G HIGH CONVICTION LIMITED                                 ,ORDINARY            ,0.94,20230628
HCH   ,EQY,HOT CHILI LIMITED                                           ,ORDINARY            ,1.12,20230630
HCT   ,EQY,HOLISTA COLLTECH LIMITED                                    ,ORDINARY            ,0.01,20230630
HE8   ,EQY,HELIOS ENERGY LTD                                           ,ORDINARY            ,0.075,20230630
HFR   ,EQY,HIGHFIELD RESOURCES LIMITED                                 ,ORDINARY            ,0.545,20230630
HFY   ,EQY,HUBIFY LIMITED                                              ,ORDINARY            ,0.019,20230630
HGH   ,EQY,HEARTLAND GROUP HOLDINGS LIMITED                            ,ORD FOR.EXEMPT NZX  ,1.515,20230623
HGL   ,EQY,HUDSON INVESTMENT GROUP LIMITED                             ,ORDINARY            ,0.2,20230630
HGO   ,EQY,HILLGROVE RESOURCES LIMITED                                 ,ORDINARY            ,0.058,20230630
HGV   ,EQY,HYGROVEST LIMITED                                           ,ORDINARY            ,0.042,20230630
HHR   ,EQY,HARTSHEAD RESOURCES NL                                      ,ORDINARY            ,0.026,20230630
HIL   ,EQY,HILLS LIMITED                                               ,ORDINARY            ,0.023,20230524
HIO   ,EQY,HAWSONS IRON LTD                                            ,ORDINARY            ,0.037,20230630
HIQ   ,EQY,HITIQ LIMITED                                               ,ORDINARY            ,0.018,20230630
HIT   ,EQY,HITECH GROUP AUSTRALIA LIMITED                              ,ORDINARY            ,1.7,20230629
HLA   ,EQY,HEALTHIA LIMITED                                            ,ORDINARY            ,1.01,20230630
HLF   ,EQY,HALO FOOD CO. LIMITED                                       ,ORDINARY            ,0.009,20230630
HLI   ,EQY,HELIA GROUP LIMITED                                         ,ORDINARY            ,3.46,20230630
HLO   ,EQY,HELLOWORLD TRAVEL LIMITED                                   ,ORDINARY            ,2.71,20230630
HLS   ,EQY,HEALIUS LIMITED                                             ,ORDINARY            ,3.18,20230630
HLX   ,EQY,HELIX RESOURCES LIMITED                                     ,ORDINARY            ,0.005,20230630
HM1   ,EQY,HEARTS AND MINDS INVESTMENTS LIMITED                        ,ORDINARY            ,2.26,20230630
HMC   ,EQY,HMC CAPITAL LIMITED                                         ,ORDINARY            ,5.06,20230630
HMD   ,EQY,HERAMED LIMITED                                             ,ORDINARY            ,0.065,20230630
HMG   ,EQY,HAMELIN GOLD LIMITED                                        ,ORDINARY            ,0.093,20230630
HMI   ,EQY,HIREMII LIMITED                                             ,ORDINARY            ,0.045,20230630
HMX   ,EQY,HAMMER METALS LIMITED                                       ,ORDINARY            ,0.061,20230630
HMY   ,EQY,HARMONEY CORP LIMITED                                       ,ORDINARY            ,0.32,20230630
HNG   ,EQY,HANCOCK & GORE LTD                                          ,ORDINARY            ,0.29,20230630
HNR   ,EQY,HANNANS LTD                                                 ,ORDINARY            ,0.011,20230630
HOR   ,EQY,HORSESHOE METALS LIMITED                                    ,ORDINARY            ,0.023,20230630
HPC   ,EQY,THE HYDRATION PHARMACEUTICALS COMPANY LIMITED               ,ORDINARY            ,0.057,20230630
HPG   ,EQY,HIPAGES GROUP HOLDINGS LTD                                  ,ORDINARY            ,0.755,20230630
HPP   ,EQY,HEALTH AND PLANT PROTEIN GROUP LIMITED                      ,ORDINARY            ,0.048,20230630
HPR   ,EQY,HIGH PEAK ROYALTIES LIMITED                                 ,ORDINARY            ,0.065,20230628
HRE   ,EQY,HEAVY RARE EARTHS LIMITED                                   ,ORDINARY            ,0.09,20230630
HRN   ,EQY,HORIZON GOLD LIMITED                                        ,ORDINARY            ,0.36,20230630
HRZ   ,EQY,HORIZON MINERALS LIMITED                                    ,ORDINARY            ,0.04,20230630
HSN   ,EQY,HANSEN TECHNOLOGIES LIMITED                                 ,ORDINARY            ,5.17,20230630
HT8   ,EQY,HARRIS TECHNOLOGY GROUP LIMITED                             ,ORDINARY            ,0.012,20230630
HTA   ,EQY,HUTCHISON TELECOMMUNICATIONS (AUSTRALIA) LIMITED            ,ORDINARY            ,0.042,20230630
HTG   ,EQY,HARVEST TECHNOLOGY GROUP LTD                                ,ORDINARY            ,0.042,20230630
HTM   ,EQY,HIGH-TECH METALS LTD                                        ,ORDINARY            ,0.185,20230629
HUB   ,EQY,HUB24 LIMITED                                               ,ORDINARY            ,25.45,20230630
HUM   ,EQY,HUMM GROUP LIMITED                                          ,ORDINARY            ,0.465,20230630
HVM   ,EQY,HAPPY VALLEY NUTRITION LIMITED                              ,ORDINARY            ,0.012,20230629
HVN   ,EQY,HARVEY NORMAN HOLDINGS LIMITED                              ,ORDINARY            ,3.48,20230630
HVY   ,EQY,HEAVY MINERALS LIMITED                                      ,ORDINARY            ,0.097,20230630
HXG   ,EQY,HEXAGON ENERGY MATERIALS LIMITED                            ,ORDINARY            ,0.01,20230630
HXL   ,EQY,HEXIMA LIMITED.                                             ,ORDINARY            ,0.021,20230628
HYD   ,EQY,HYDRIX LIMITED                                              ,ORDINARY            ,0.026,20230630
HYT   ,EQY,HYTERRA LTD                                                 ,ORDINARY            ,0.016,20230628
HZN   ,EQY,HORIZON OIL LIMITED                                         ,ORDINARY            ,0.14,20230630
HZR   ,EQY,HAZER GROUP LIMITED                                         ,ORDINARY            ,0.63,20230630
IAG   ,EQY,INSURANCE AUSTRALIA GROUP LIMITED                           ,ORDINARY            ,5.7,20230630
IAM   ,EQY,INCOME ASSET MANAGEMENT GROUP LIMITED.                      ,ORDINARY            ,0.13,20230630
IBC   ,EQY,IRONBARK CAPITAL LIMITED                                    ,ORDINARY            ,0.45,20230630
IBG   ,EQY,IRONBARK ZINC LTD                                           ,ORDINARY            ,0.008,20230630
IBX   ,EQY,IMAGION BIOSYSTEMS LIMITED                                  ,ORDINARY            ,0.016,20230630
ICE   ,EQY,ICETANA LIMITED                                             ,ORDINARY            ,0.035,20230630
ICG   ,EQY,INCA MINERALS LIMITED                                       ,ORDINARY            ,0.021,20230630
ICI   ,EQY,ICANDY INTERACTIVE LIMITED                                  ,ORDINARY            ,0.041,20230630
ICL   ,EQY,ICENI GOLD LIMITED                                          ,ORDINARY            ,0.071,20230629
ICN   ,EQY,ICON ENERGY LIMITED                                         ,ORDINARY            ,0.004,20230630
ICR   ,EQY,INTELICARE HOLDINGS LIMITED                                 ,ORDINARY            ,0.012,20230630
ID8   ,EQY,IDENTITII LIMITED                                           ,ORDINARY            ,0.023,20230630
IDA   ,EQY,INDIANA RESOURCES LIMITED                                   ,ORDINARY            ,0.047,20230630
IDT   ,EQY,IDT AUSTRALIA LIMITED                                       ,ORDINARY            ,0.065,20230630
IDX   ,EQY,INTEGRAL DIAGNOSTICS LIMITED                                ,ORDINARY            ,3.28,20230630
IEC   ,EQY,INTRA ENERGY CORPORATION LIMITED                            ,ORDINARY            ,0.005,20230629
IEL   ,EQY,IDP EDUCATION LIMITED                                       ,ORDINARY            ,22.1,20230630
IEQ   ,EQY,INTERNATIONAL EQUITIES CORPORATION LIMITED.                 ,ORDINARY            ,0.034,20230504
IFL   ,EQY,INSIGNIA FINANCIAL LTD                                      ,ORDINARY            ,2.82,20230630
IFM   ,EQY,INFOMEDIA LTD                                               ,ORDINARY            ,1.6,20230630
IFT   ,EQY,INFRATIL LIMITED.                                           ,ORD FOR.EXEMPT NZX  ,9.42,20230630
IG6   ,EQY,INTERNATIONAL GRAPHITE LIMITED                              ,ORDINARY            ,0.18,20230630
IGL   ,EQY,IVE GROUP LIMITED                                           ,ORDINARY            ,2.3,20230630
IGN   ,EQY,IGNITE LIMITED                                              ,ORDINARY            ,0.045,20230630
IGO   ,EQY,IGO LIMITED                                                 ,ORDINARY            ,15.2,20230630
IHL   ,EQY,INCANNEX HEALTHCARE LIMITED                                 ,ORDINARY            ,0.1,20230630
IIQ   ,EQY,INOVIQ LTD                                                  ,ORDINARY            ,0.85,20230630
IKE   ,EQY,IKEGPS GROUP LIMITED                                        ,ORD FOR. EXEMPT NZX ,0.69,20230630
ILA   ,EQY,ISLAND PHARMACEUTICALS LIMITED                              ,ORDINARY            ,0.095,20230630
ILT   ,EQY,ILTANI RESOURCES LIMITED.                                   ,ORDINARY            ,0.23,20230630
ILU   ,EQY,ILUKA RESOURCES LIMITED                                     ,ORDINARY            ,11.11,20230630
IMA   ,EQY,IMAGE RESOURCES NL                                          ,ORDINARY            ,0.087,20230630
IMB   ,EQY,INTELLIGENT MONITORING GROUP LIMITED                        ,ORDINARY            ,0.16,20230630
IMC   ,EQY,IMMURON LIMITED                                             ,ORDINARY            ,0.075,20230630
IMD   ,EQY,IMDEX LIMITED                                               ,ORDINARY            ,1.89,20230630
IME   ,EQY,IMEXHS LIMITED                                              ,ORDINARY            ,0.6,20230630
IMI   ,EQY,INFINITY MINING LIMITED                                     ,ORDINARY            ,0.12,20230630
IMM   ,EQY,IMMUTEP LIMITED                                             ,ORDINARY            ,0.315,20230630
IMR   ,EQY,IMRICOR MEDICAL SYSTEMS INC.                                ,CDI 1:1             ,0.33,20230630
IMU   ,EQY,IMUGENE LIMITED                                             ,ORDINARY            ,0.091,20230630
IND   ,EQY,INDUSTRIAL MINERALS LTD                                     ,ORDINARY            ,0.62,20230630
INF   ,EQY,INFINITY LITHIUM CORPORATION LIMITED                        ,ORDINARY            ,0.09,20230630
ING   ,EQY,INGHAMS GROUP LIMITED                                       ,ORDINARY            ,2.62,20230630
INL   ,EQY,INNLANZ LIMITED                                             ,ORDINARY            ,0.028,20230630
INP   ,EQY,INCENTIAPAY LIMITED                                         ,ORDINARY            ,0.007,20230630
INR   ,EQY,IONEER LTD                                                  ,ORDINARY            ,0.34,20230630
INV   ,EQY,INVESTSMART GROUP LIMITED                                   ,ORDINARY            ,0.17,20230630
IOD   ,EQY,IODM LIMITED                                                ,ORDINARY            ,0.33,20230630
IOU   ,EQY,IOUPAY LIMITED                                              ,ORDINARY            ,0.041,20230313
IPB   ,EQY,IPB PETROLEUM LIMITED                                       ,ORDINARY            ,0.008,20230630
IPC   ,EQY,IMPERIAL PACIFIC LIMITED                                    ,ORDINARY            ,1.2,20230623
IPD   ,EQY,IMPEDIMED LIMITED                                           ,ORDINARY            ,0.18,20230630
IPG   ,EQY,IPD GROUP LTD                                               ,ORDINARY            ,4.29,20230630
IPH   ,EQY,IPH LIMITED                                                 ,ORDINARY            ,7.83,20230630
IPL   ,EQY,INCITEC PIVOT LIMITED                                       ,ORDINARY            ,2.74,20230630
IPT   ,EQY,IMPACT MINERALS LIMITED                                     ,ORDINARY            ,0.014,20230630
IPX   ,EQY,IPERIONX LIMITED                                            ,ORDINARY            ,1.115,20230630
IR1   ,EQY,IRIS METALS LIMITED                                         ,ORDINARY            ,1.7,20230630
IRD   ,EQY,IRON ROAD LIMITED                                           ,ORDINARY            ,0.073,20230630
IRE   ,EQY,IRESS LIMITED                                               ,ORDINARY            ,10.25,20230630
IRI   ,EQY,INTEGRATED RESEARCH LIMITED                                 ,ORDINARY            ,0.385,20230630
IRX   ,EQY,INHALERX LIMITED                                            ,ORDINARY            ,0.04,20230630
IS3   ,EQY,I SYNERGY GROUP LIMITED                                     ,ORDINARY            ,0.01,20230630
ITM   ,EQY,ITECH MINERALS LTD                                          ,ORDINARY            ,0.225,20230630
IVC   ,EQY,INVOCARE LIMITED                                            ,ORDINARY            ,12.59,20230630
IVO   ,EQY,INVIGOR GROUP LIMITED                                       ,ORDINARY            ,0.009,20220824
IVR   ,EQY,INVESTIGATOR RESOURCES LTD                                  ,ORDINARY            ,0.045,20230630
IVT   ,EQY,INVENTIS LIMITED                                            ,ORDINARY            ,0.037,20230627
IVX   ,EQY,INVION LIMITED                                              ,ORDINARY            ,0.004,20230630
IVZ   ,EQY,INVICTUS ENERGY LTD                                         ,ORDINARY            ,0.115,20230630
IXC   ,EQY,INVEX THERAPEUTICS LTD                                      ,ORDINARY            ,0.2,20230630
IXR   ,EQY,IONIC RARE EARTHS LIMITED                                   ,ORDINARY            ,0.022,20230630
IXU   ,EQY,IXUP LIMITED                                                ,ORDINARY            ,0.053,20230630
JAL   ,EQY,JAMESON RESOURCES LIMITED                                   ,ORDINARY            ,0.059,20230630
JAN   ,EQY,JANISON EDUCATION GROUP LIMITED                             ,ORDINARY            ,0.445,20230630
JAT   ,EQY,JATCORP LIMITED                                             ,ORDINARY            ,0.01,20230630
JAV   ,EQY,JAVELIN MINERALS LIMITED                                    ,ORDINARY            ,0.001,20230623
JAY   ,EQY,JAYRIDE GROUP LIMITED                                       ,ORDINARY            ,0.11,20230629
JBH   ,EQY,JB HI-FI LIMITED                                            ,ORDINARY            ,43.75,20230630
JCS   ,EQY,JCURVE SOLUTIONS LTD                                        ,ORDINARY            ,0.039,20230630
JDO   ,EQY,JUDO CAPITAL HOLDINGS LIMITED                               ,ORDINARY            ,1.185,20230630
JGH   ,EQY,JADE GAS HOLDINGS LIMITED                                   ,ORDINARY            ,0.044,20230630
JHG   ,EQY,JANUS HENDERSON GROUP PLC                                   ,CDI 1:1 FOR. EXEMPT ,41.35,20230630
JHX   ,EQY,JAMES HARDIE INDUSTRIES PLC                                 ,CHESS DEPOSITARY INT,39.75,20230630
JIN   ,EQY,JUMBO INTERACTIVE LIMITED                                   ,ORDINARY            ,14.26,20230630
JLG   ,EQY,JOHNS LYNG GROUP LIMITED                                    ,ORDINARY            ,5.32,20230630
JMS   ,EQY,JUPITER MINES LIMITED.                                      ,ORDINARY            ,0.195,20230630
JNO   ,EQY,JUNO MINERALS LIMITED                                       ,ORDINARY            ,0.07,20230630
JPR   ,EQY,JUPITER ENERGY LIMITED                                      ,ORDINARY            ,0.019,20230630
JRL   ,EQY,JINDALEE RESOURCES LIMITED                                  ,ORDINARY            ,1.745,20230630
JRV   ,EQY,JERVOIS GLOBAL LIMITED                                      ,ORDINARY            ,0.066,20230627
JTL   ,EQY,JAYEX TECHNOLOGY LIMITED                                    ,ORDINARY            ,0.009,20230628
JXT   ,EQY,JAXSTA LTD                                                  ,ORDINARY            ,0.057,20230630
JYC   ,EQY,JOYCE CORPORATION LTD                                       ,ORDINARY            ,2.43,20230629
