ASX Code,Security Group Code,Issuer Name Full,Product Description Abbrev,Last Price ($),Business Date
ADSNA ,EQY,ADSLOT LTD.                                                 ,DEFERRED            ,-,-
ADT   ,EQY,ADRIATIC METALS PLC                                         ,CDI 1:1             ,3.18,20230630
ADV   ,EQY,ARDIDEN LTD                                                 ,ORDINARY            ,0.007,20230630
ADX   ,EQY,ADX ENERGY LTD                                              ,ORDINARY            ,0.007,20230630
ADY   ,EQY,ADMIRALTY RESOURCES NL.                                     ,ORDINARY            ,0.006,20230630
AE1   ,EQY,AERISON GROUP LTD                                           ,ORDINARY            ,0.1,20230503
AEE   ,EQY,AURA ENERGY LIMITED                                         ,ORDINARY            ,0.205,20230630
AEF   ,EQY,AUSTRALIAN ETHICAL INVESTMENT LIMITED                       ,ORDINARY            ,3.36,20230630
AEI   ,EQY,AERIS ENVIRONMENTAL LTD                                     ,ORDINARY            ,0.025,20230630
AER   ,EQY,AEERIS LTD                                                  ,ORDINARY            ,0.11,20230629
AEV   ,EQY,AVENIRA LIMITED                                             ,ORDINARY            ,0.017,20230630
AFA   ,EQY,ASF GROUP LIMITED                                           ,ORDINARY            ,0.062,20230627
AFG   ,EQY,AUSTRALIAN FINANCE GROUP LTD                                ,ORDINARY            ,1.79,20230630
AFI   ,EQY,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED            ,ORDINARY            ,7.07,20230630
AFL   ,EQY,AF LEGAL GROUP LTD                                          ,ORDINARY            ,0.19,20230630
AFP   ,EQY,AFT PHARMACEUTICALS LIMITED                                 ,ORD FOR. EXEMPT NZX ,3.4,20230628
AFW   ,EQY,APPLYFLOW LIMITED                                           ,ORDINARY            ,0.014,20230630
AGC   ,EQY,AUSTRALIAN GOLD AND COPPER LTD                              ,ORDINARY            ,0.053,20230630
AGD   ,EQY,AUSTRAL GOLD LIMITED                                        ,ORDINARY            ,0.034,20230630
AGE   ,EQY,ALLIGATOR ENERGY LIMITED                                    ,ORDINARY            ,0.034,20230630
AGH   ,EQY,ALTHEA GROUP HOLDINGS LIMITED                               ,ORDINARY            ,0.043,20230630
AGI   ,EQY,AINSWORTH GAME TECHNOLOGY LIMITED                           ,ORDINARY            ,1.05,20230630
AGL   ,EQY,AGL ENERGY LIMITED.                                         ,ORDINARY            ,10.81,20230630
AGN   ,EQY,ARGENICA THERAPEUTICS LIMITED                               ,ORDINARY            ,0.375,20230630
AGR   ,EQY,AGUIA RESOURCES LIMITED                                     ,ORDINARY            ,0.028,20230630
AGY   ,EQY,ARGOSY MINERALS LIMITED                                     ,ORDINARY            ,0.39,20230630
